x,y
2024-08-31T22:04:28+00:00,80.1
2024-08-31T22:09:29+00:00,80.52
2024-08-31T22:14:30+00:00,80.46
2024-08-31T22:19:28+00:00,80.65
2024-08-31T22:24:27+00:00,80.46
2024-08-31T22:29:28+00:00,80.58
2024-08-31T22:34:29+00:00,80.69
2024-08-31T22:39:30+00:00,80.84
2024-08-31T22:44:30+00:00,81.09
2024-08-31T22:49:28+00:00,81.06
2024-08-31T22:54:29+00:00,81.09
2024-08-31T22:59:28+00:00,81.45
2024-08-31T23:04:27+00:00,81.63
2024-08-31T23:09:31+00:00,81.78
2024-08-31T23:14:30+00:00,81.75
2024-08-31T23:19:28+00:00,81.85
2024-08-31T23:24:33+00:00,81.95
2024-08-31T23:29:28+00:00,82.1
2024-08-31T23:34:30+00:00,82.33
2024-08-31T23:39:33+00:00,82.52
2024-08-31T23:44:28+00:00,82.63
2024-08-31T23:49:27+00:00,82.3
2024-08-31T23:54:29+00:00,82.54
2024-08-31T23:59:30+00:00,82.63
2024-09-01T00:04:32+00:00,82.63
2024-09-01T00:09:30+00:00,82.95
2024-09-01T00:14:30+00:00,82.89
2024-09-01T00:19:27+00:00,83.16
2024-09-01T00:24:27+00:00,83.13
2024-09-01T00:29:28+00:00,83.06
2024-09-01T00:34:29+00:00,83.22
2024-09-01T00:39:31+00:00,83.26
2024-09-01T00:44:28+00:00,83
2024-09-01T00:49:27+00:00,83.16
2024-09-01T00:54:27+00:00,83.37
2024-09-01T00:59:27+00:00,83.37
2024-09-01T01:04:31+00:00,83.41
2024-09-01T01:09:32+00:00,83.65
2024-09-01T01:14:27+00:00,83.71
2024-09-01T01:19:30+00:00,83.91
2024-09-01T01:24:27+00:00,84.19
2024-09-01T01:29:27+00:00,84.11
2024-09-01T01:34:31+00:00,84.16
2024-09-01T01:39:30+00:00,84.29
2024-09-01T01:44:27+00:00,84.32
2024-09-01T01:49:29+00:00,84.45
2024-09-01T01:54:28+00:00,84.53
2024-09-01T01:59:28+00:00,84.51
2024-09-01T02:04:30+00:00,84.69
2024-09-01T02:09:33+00:00,84.72
2024-09-01T02:14:28+00:00,84.64
2024-09-01T02:19:27+00:00,84.72
2024-09-01T02:24:30+00:00,84.55
2024-09-01T02:29:27+00:00,84.72
2024-09-01T02:34:30+00:00,85.06
2024-09-01T02:39:31+00:00,85.11
2024-09-01T02:44:28+00:00,85.06
2024-09-01T02:49:27+00:00,85.17
2024-09-01T02:54:27+00:00,85.18
2024-09-01T02:59:33+00:00,85.56
2024-09-01T03:04:31+00:00,85.49
2024-09-01T03:09:27+00:00,85.45
2024-09-01T03:14:31+00:00,85.5
2024-09-01T03:19:27+00:00,85.67
2024-09-01T03:24:27+00:00,85.87
2024-09-01T03:29:29+00:00,86.21
2024-09-01T03:34:32+00:00,86.39
2024-09-01T03:39:27+00:00,86.55
2024-09-01T03:44:28+00:00,86.6
2024-09-01T03:49:30+00:00,86.61
2024-09-01T03:54:30+00:00,86.54
2024-09-01T03:59:31+00:00,86.29
2024-09-01T04:04:34+00:00,86.19
2024-09-01T04:09:28+00:00,86.09
2024-09-01T04:14:27+00:00,86.1
2024-09-01T04:19:29+00:00,86.12
2024-09-01T04:24:28+00:00,86.36
2024-09-01T04:29:30+00:00,86.44
2024-09-01T04:34:31+00:00,86.44
2024-09-01T04:39:29+00:00,86.57
2024-09-01T04:44:28+00:00,86.93
2024-09-01T04:49:27+00:00,87.06
2024-09-01T04:54:30+00:00,87.11
2024-09-01T04:59:30+00:00,87.28
2024-09-01T05:04:33+00:00,87.14
2024-09-01T05:09:30+00:00,87.09
2024-09-01T05:14:28+00:00,87.03
2024-09-01T05:19:28+00:00,87.17
2024-09-01T05:24:29+00:00,87.22
2024-09-01T05:29:32+00:00,87.43
2024-09-01T05:34:31+00:00,87.37
2024-09-01T05:39:28+00:00,87.15
2024-09-01T05:44:31+00:00,86.94
2024-09-01T05:49:28+00:00,86.83
2024-09-01T05:54:27+00:00,86.72
2024-09-01T05:59:32+00:00,86.64
2024-09-01T06:04:31+00:00,86.21
2024-09-01T06:09:27+00:00,85.77
2024-09-01T06:14:29+00:00,85.51
2024-09-01T06:19:30+00:00,85.62
2024-09-01T06:24:30+00:00,85.55
2024-09-01T06:29:33+00:00,85.28
2024-09-01T06:34:29+00:00,85.03
2024-09-01T06:39:28+00:00,84.66
2024-09-01T06:44:29+00:00,84.48
2024-09-01T06:49:30+00:00,83.79
2024-09-01T06:54:30+00:00,83.36
2024-09-01T06:59:32+00:00,82.62
2024-09-01T07:04:30+00:00,81.22
2024-09-01T07:09:28+00:00,80.49
2024-09-01T07:14:27+00:00,79.79
2024-09-01T07:19:30+00:00,78.35
2024-09-01T07:24:32+00:00,78.68
2024-09-01T07:29:31+00:00,77.21
2024-09-01T07:34:29+00:00,75.55
2024-09-01T07:39:30+00:00,75.15
2024-09-01T07:44:28+00:00,73.99
2024-09-01T07:49:28+00:00,73.31
2024-09-01T07:54:33+00:00,72.58
2024-09-01T07:59:32+00:00,73.05
2024-09-01T08:04:28+00:00,72.56
2024-09-01T08:09:30+00:00,71.29
2024-09-01T08:14:28+00:00,71.14
2024-09-01T08:19:28+00:00,70.23
2024-09-01T08:24:32+00:00,68.3
2024-09-01T08:29:33+00:00,69.43
2024-09-01T08:34:27+00:00,69.02
2024-09-01T08:39:29+00:00,68.46
2024-09-01T08:44:31+00:00,67.79
2024-09-01T08:49:28+00:00,67.87
2024-09-01T08:54:30+00:00,65.3
2024-09-01T08:59:33+00:00,66.17
2024-09-01T09:04:28+00:00,65.25
2024-09-01T09:09:28+00:00,64.91
2024-09-01T09:14:30+00:00,65.57
2024-09-01T09:19:30+00:00,63.45
2024-09-01T09:24:17+00:00,62.89
2024-09-01T09:29:20+00:00,62.43
2024-09-01T09:34:28+00:00,63.34
2024-09-01T09:39:29+00:00,62.38
2024-09-01T09:44:29+00:00,62.24
2024-09-01T09:49:32+00:00,60.54
2024-09-01T09:54:31+00:00,60.8
