x,y
2024-08-31T22:04:28+00:00,17.44
2024-08-31T22:09:29+00:00,17.5
2024-08-31T22:14:30+00:00,17.46
2024-08-31T22:19:28+00:00,17.53
2024-08-31T22:24:27+00:00,17.55
2024-08-31T22:29:28+00:00,17.38
2024-08-31T22:34:29+00:00,17.3
2024-08-31T22:39:30+00:00,17.23
2024-08-31T22:44:30+00:00,17.21
2024-08-31T22:49:28+00:00,17.06
2024-08-31T22:54:29+00:00,16.85
2024-08-31T22:59:28+00:00,16.78
2024-08-31T23:04:27+00:00,16.75
2024-08-31T23:09:31+00:00,16.76
2024-08-31T23:14:30+00:00,16.69
2024-08-31T23:19:28+00:00,16.65
2024-08-31T23:24:33+00:00,16.56
2024-08-31T23:29:28+00:00,16.46
2024-08-31T23:34:30+00:00,16.44
2024-08-31T23:39:33+00:00,16.48
2024-08-31T23:44:28+00:00,16.65
2024-08-31T23:49:27+00:00,16.45
2024-08-31T23:54:29+00:00,16.33
2024-08-31T23:59:30+00:00,16.31
2024-09-01T00:04:32+00:00,16.22
2024-09-01T00:09:30+00:00,16.34
2024-09-01T00:14:30+00:00,16.31
2024-09-01T00:19:27+00:00,16.47
2024-09-01T00:24:27+00:00,16.45
2024-09-01T00:29:28+00:00,16.44
2024-09-01T00:34:29+00:00,16.51
2024-09-01T00:39:31+00:00,16.56
2024-09-01T00:44:28+00:00,16.49
2024-09-01T00:49:27+00:00,16.43
2024-09-01T00:54:27+00:00,16.51
2024-09-01T00:59:27+00:00,16.41
2024-09-01T01:04:31+00:00,16.31
2024-09-01T01:09:32+00:00,16.26
2024-09-01T01:14:27+00:00,16.14
2024-09-01T01:19:30+00:00,16.15
2024-09-01T01:24:27+00:00,16.25
2024-09-01T01:29:27+00:00,16.29
2024-09-01T01:34:31+00:00,16.29
2024-09-01T01:39:30+00:00,16.29
2024-09-01T01:44:27+00:00,16.3
2024-09-01T01:49:29+00:00,16.25
2024-09-01T01:54:28+00:00,16.26
2024-09-01T01:59:28+00:00,16.12
2024-09-01T02:04:30+00:00,16.13
2024-09-01T02:09:33+00:00,16.15
2024-09-01T02:14:28+00:00,16.11
2024-09-01T02:19:27+00:00,16.03
2024-09-01T02:24:30+00:00,15.81
2024-09-01T02:29:27+00:00,15.66
2024-09-01T02:34:30+00:00,15.59
2024-09-01T02:39:31+00:00,15.63
2024-09-01T02:44:28+00:00,15.56
2024-09-01T02:49:27+00:00,15.4
2024-09-01T02:54:27+00:00,15.21
2024-09-01T02:59:33+00:00,15.37
2024-09-01T03:04:31+00:00,15.28
2024-09-01T03:09:27+00:00,15.12
2024-09-01T03:14:31+00:00,15.01
2024-09-01T03:19:27+00:00,14.88
2024-09-01T03:24:27+00:00,14.84
2024-09-01T03:29:29+00:00,14.88
2024-09-01T03:34:32+00:00,14.87
2024-09-01T03:39:27+00:00,14.95
2024-09-01T03:44:28+00:00,14.92
2024-09-01T03:49:30+00:00,15.06
2024-09-01T03:54:30+00:00,15.13
2024-09-01T03:59:31+00:00,14.93
2024-09-01T04:04:34+00:00,14.82
2024-09-01T04:09:28+00:00,14.63
2024-09-01T04:14:27+00:00,14.62
2024-09-01T04:19:29+00:00,14.57
2024-09-01T04:24:28+00:00,14.56
2024-09-01T04:29:30+00:00,14.59
2024-09-01T04:34:31+00:00,14.44
2024-09-01T04:39:29+00:00,14.42
2024-09-01T04:44:28+00:00,14.54
2024-09-01T04:49:27+00:00,14.62
2024-09-01T04:54:30+00:00,14.57
2024-09-01T04:59:30+00:00,14.94
2024-09-01T05:04:33+00:00,14.96
2024-09-01T05:09:30+00:00,14.91
2024-09-01T05:14:28+00:00,14.74
2024-09-01T05:19:28+00:00,14.86
2024-09-01T05:24:29+00:00,14.96
2024-09-01T05:29:32+00:00,15.31
2024-09-01T05:34:31+00:00,15.55
2024-09-01T05:39:28+00:00,15.7
2024-09-01T05:44:31+00:00,15.8
2024-09-01T05:49:28+00:00,15.99
2024-09-01T05:54:27+00:00,16.13
2024-09-01T05:59:32+00:00,16.37
2024-09-01T06:04:31+00:00,16.37
2024-09-01T06:09:27+00:00,16.26
2024-09-01T06:14:29+00:00,16.19
2024-09-01T06:19:30+00:00,16.33
2024-09-01T06:24:30+00:00,16.58
2024-09-01T06:29:33+00:00,16.7
2024-09-01T06:34:29+00:00,16.89
2024-09-01T06:39:28+00:00,17.05
2024-09-01T06:44:29+00:00,17.44
2024-09-01T06:49:30+00:00,17.64
2024-09-01T06:54:30+00:00,17.91
2024-09-01T06:59:32+00:00,18.09
2024-09-01T07:04:30+00:00,18.23
2024-09-01T07:09:28+00:00,18.46
2024-09-01T07:14:27+00:00,18.66
2024-09-01T07:19:30+00:00,18.74
2024-09-01T07:24:32+00:00,19.22
2024-09-01T07:29:31+00:00,19.42
2024-09-01T07:34:29+00:00,19.46
2024-09-01T07:39:30+00:00,19.84
2024-09-01T07:44:28+00:00,20.02
2024-09-01T07:49:28+00:00,20.27
2024-09-01T07:54:33+00:00,20.49
2024-09-01T07:59:32+00:00,20.86
2024-09-01T08:04:28+00:00,21.09
2024-09-01T08:09:30+00:00,21.23
2024-09-01T08:14:28+00:00,21.52
2024-09-01T08:19:28+00:00,21.55
2024-09-01T08:24:32+00:00,21.44
2024-09-01T08:29:33+00:00,21.68
2024-09-01T08:34:27+00:00,22.06
2024-09-01T08:39:29+00:00,22.47
2024-09-01T08:44:31+00:00,22.71
2024-09-01T08:49:28+00:00,22.97
2024-09-01T08:54:30+00:00,22.85
2024-09-01T08:59:33+00:00,23.03
2024-09-01T09:04:28+00:00,23.37
2024-09-01T09:09:28+00:00,23.45
2024-09-01T09:14:30+00:00,23.71
2024-09-01T09:19:30+00:00,23.96
2024-09-01T09:24:17+00:00,23.66
2024-09-01T09:29:20+00:00,23.41
