Date,CO2_w-out,CO2_s-out,CO2_n-out,CO2_e-out,CO2_n-in,CO2_m-in,CO2_m-in-up,CO2_s-in,CO2_w-in,CO2_e-in,NH3_w-out,NH3_s-out,NH3_n-out,NH3_e-out,NH3_n-in,NH3_m-in,NH3_m-in-up,NH3_s-in,NH3_w-in,NH3_e-in,CH4_w-out,CH4_s-out,CH4_n-out,CH4_e-out,CH4_n-in,CH4_m-in,CH4_m-in-up,CH4_s-in,CH4_w-in,CH4_e-in,DoP,Num_ani,Weight,TEMP,Wind_dir,Wind_speed,Milk_yield,Ver_w,Hor_w,CH4_in_mean,CH4_out_mean
11/1/2016 0:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,12.9,246,1.23,38.55,-0.500286071,-1.123660913,12.03333333,5.3
11/1/2016 1:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,12.1,238,1.62,38.55,-0.858469208,-1.373837916,12.03333333,5.3
11/1/2016 2:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,12.3,250,1.71,38.55,-0.584854445,-1.606874382,12.03333333,5.3
11/1/2016 3:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,12.5,233,1.64,38.55,-0.986976638,-1.309762236,12.03333333,5.3
11/1/2016 4:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,12.3,227,1.57,38.55,-1.070737425,-1.148225312,12.03333333,5.3
11/1/2016 5:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,12.1,216,1.67,38.55,-1.351058381,-0.981601371,12.03333333,5.3
11/1/2016 6:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,12.1,229,1.71,38.55,-1.12186094,-1.290553382,12.03333333,5.3
11/1/2016 7:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,12,223,1.89,38.55,-1.382258496,-1.288976901,12.03333333,5.3
11/1/2016 8:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,11.4,231,2.07,38.55,-1.302693209,-1.60869214,12.03333333,5.3
11/1/2016 9:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,11.2,234,2.25,38.55,-1.322516818,-1.820288237,12.03333333,5.3
11/1/2016 10:00,411,454,483,509,613,614,814,487,434,563,0.2,0.1,0.6,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,6.5,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,11.9,246,2.23,38.55,-0.907022714,-2.037206371,12.03333333,5.3
11/1/2016 11:00,411,454,486,509,613,614,814,487,434,563,0.2,0.1,0.2,0.6,1,0.8,1.4,0.2,0.3,1.2,2.3,2.9,5.2,9.5,13.1,12.8,23.1,5.4,4.2,13.6,113.5,395,695,13.2,270,2.13,38.55,-3.91E-16,-2.13,12.03333333,4.975
11/1/2016 12:00,414,455,501,483,651,570,552,477,459,595,0.1,0.1,0.2,0.7,1.6,0.6,0.9,0.2,0.3,1.4,2.4,2.9,6.3,8,16,10.2,7.4,4.9,6,16.7,113.5,395,695,12.1,297,2.64,38.55,1.198534919,-2.352257224,10.2,4.9
11/1/2016 13:00,409.5,463,483,522,625.5,533,814,487,434,576.5,0.1,0.1,0.6,0.9,1.6,0.7,1.4,0.2,0.3,1.95,2.5,3.8,6.5,10.8,15.25,8.5,23.1,5.4,4.2,15,113.5,395,695,11.9,314,3.6,38.55,2.500770134,-2.589623281,11.90833333,5.9
11/1/2016 14:00,387,453,438,510.5,472,468.66667,518,487,398,501,0.1,0,0.1,1.25,1.2,0.63333333,1.3,0.2,0.2,2.5,2.2,4.7,3.5,10.9,5.1,5.1,9,5.4,3.3,10.9,113.5,395,695,11.8,314,2.99,38.55,2.077028528,-2.150826003,6.466666667,5.325
11/1/2016 15:00,379,523,474,521,586,586,659,541,433,651,0.1,0.1,0.1,1.5,1.8,0.9,2.3,0.7,0.2,3.7,1.7,9.2,5.7,11.6,14.2,13,17.8,10.5,5.8,22,113.5,395,695,11.2,309,2.95,38.55,1.856495154,-2.292580586,13.88333333,7.05
11/1/2016 16:00,380,428,446,553,555,476,551,555,397,643,0.1,0.2,0.2,1.7,1.9,0.5,1.4,1.6,0.2,4,1.8,2.4,3.4,14.7,11.2,5.7,11,11.6,2.6,21.8,113.5,395,695,9.8,303,2.42,38.55,1.318026465,-2.029582774,10.65,5.575
11/1/2016 17:00,388,441,477,506,614,505,598,572,442,607,0.1,0.1,0.3,1.9,2.2,0.6,1.8,1.4,0.2,3.4,2.1,3.7,6.4,10,15.6,8.1,14.5,12.1,5.7,17.2,113.5,395,695,8.8,290,1.94,38.55,0.663519078,-1.823003684,12.2,5.55
11/1/2016 18:00,391,427,479,468,614,502,531,519,413,607,0.1,0.1,0.4,1.3,2.6,0.8,0.9,0.7,0.2,2.8,2.1,2.9,6.3,7.8,15.7,8,10,9.1,3.9,18.1,113.5,395,695,8.6,283,2.06,38.55,0.463399172,-2.007202333,10.8,4.775
11/1/2016 19:00,389,424,465,505,571,542,518,459,418,619,0.1,0.1,0.2,1.2,1.8,0.7,0.8,0.3,0.2,1.5,2,2.5,5.7,10.5,12.6,10.8,9.1,4.9,4.2,19.1,113.5,395,695,8.3,287,2.09,38.55,0.611056863,-1.99867694,10.11666667,5.175
11/1/2016 20:00,391,420,453,495,593,473,507,434,420,576,0.1,0,0.3,0.8,2,0.6,1.1,0.2,0.2,1.5,2.2,2.3,5,10.5,14.6,6.1,8.4,3.5,4,15.3,113.5,395,695,8.7,287,2.42,38.55,0.707539525,-2.314257509,8.65,5
11/1/2016 21:00,391,415,431,476,644,487,489,505,405,746,0.1,0,0.3,1,2.4,0.7,0.9,0.4,0.2,2.5,2.1,2.3,3,8.8,16,7.1,7.1,8.8,3.2,26.9,113.5,395,695,8.2,282,2.41,38.55,0.501067175,-2.357335718,11.51666667,4.05
11/1/2016 22:00,389,413,448,505,485,464,480,459,404,469,0.1,0.1,0.3,0.7,1.2,0.6,0.6,0.3,0.2,1.2,2.1,2.1,4.5,10.9,7.2,5.5,7,5.3,3.1,8,113.5,395,695,7.5,281,2.18,38.55,0.41596361,-2.13994726,6.016666667,4.9
11/1/2016 23:00,392,412,459,508,571,456,465,458,395,550,0.1,0,0.3,0.8,1.5,0.8,0.7,0.2,0.2,1.6,2.1,2.3,5.5,11,12.7,5.2,5.8,5.6,2.6,13.2,113.5,395,695,7.3,269,2.11,38.55,-0.036824578,-2.109678637,7.516666667,5.225
11/2/2016 0:00,392,413,458,445,535,469,452,425,401,539,0.1,0,0.2,0.8,1.4,0.6,0.6,0.2,0.2,1.3,2.3,2.2,5.4,6.4,10.8,6.2,5,3.1,2.9,12.8,114.01,397,695,7.2,268,2.33,38.25,-0.081315827,-2.328580627,6.8,4.075
11/2/2016 1:00,389,417,444,443,549,480,476,445,415,435,0.1,0,0.2,0.8,1.3,0.6,0.6,0.2,0.2,1,2.2,2.7,4.7,5.7,11.5,6.8,6.9,4.9,4.1,5.2,114.01,397,695,7.1,267,2.3,38.25,-0.120372699,-2.29684793,6.566666667,3.825
11/2/2016 2:00,390,412,441,442,540,486,494,440,427,511,0.1,0,0.2,0.6,0.9,0.5,0.4,0.1,0.2,0.8,2.1,2.1,4.3,6,10.9,7.4,8.2,4.3,4.8,10.6,114.01,397,695,7.4,270,2.5,38.25,-4.59E-16,-2.5,7.7,3.625
11/2/2016 3:00,390,411,443,476,522,507,511,443,409,563,0.1,0,0.2,0.7,1.2,0.5,0.6,0.1,0.2,0.8,2,2.2,4.4,8.6,9.8,8.6,9.4,4.2,3.5,14.4,114.01,397,695,7.3,261,2.39,38.25,-0.373878371,-2.360575134,8.316666667,4.3
11/2/2016 4:00,393,413,443,461,493,460,456,444,400,493,0.1,0,0.2,0.6,0.8,0.4,0.4,0.1,0.2,0.7,2.2,2.4,4.3,7.4,8.2,5.7,5.5,4.7,2.8,9.8,114.01,397,695,7.5,260,2.43,38.25,-0.421965072,-2.39308284,6.116666667,4.075
11/2/2016 5:00,391,414,439,458,509,482,479,429,408,491,0.1,0,0.2,0.4,0.8,0.4,0.3,0.1,0.1,0.7,2.1,2.2,3.8,7.2,8.6,6.7,7.3,3.4,3.4,9.4,114.01,397,695,7.5,259,2.34,38.25,-0.446493049,-2.297007609,6.466666667,3.825
11/2/2016 6:00,393,413,442,527,499,481,484,432,412,504,0.1,0,0.2,0.6,0.8,0.5,0.5,0.1,0.2,0.6,1.9,2.2,4.2,7.8,7.9,5.8,7.6,3.7,3.6,10.3,114.01,397,695,7.3,268,3.07,38.25,-0.107141455,-3.068129839,6.483333333,4.025
11/2/2016 7:00,388,411,423,460,555,429,421,425,388,477,0.1,0,0.1,0.5,0.8,0.4,0.3,0.1,0.2,0.6,2,2.2,3,6.8,11.7,3.3,3.2,3.5,2.2,8.7,114.01,397,695,7.4,275,2.9,38.25,0.252751654,-2.888964624,5.433333333,3.5
11/2/2016 8:00,388,407,447,417,523,437,476,409,406,453,0.1,0,0.1,0.5,0.7,0.4,0.3,0.1,0.2,0.8,2.1,2,5.2,4.6,10.7,4.4,7,2.1,3.7,7.1,114.01,397,695,7.2,302,3.17,38.25,1.679844068,-2.688312465,5.833333333,3.475
11/2/2016 9:00,386,405,407,444,543,462,479,418,400,562,0.1,0,0.1,0.3,0.5,0.3,0.4,0.1,0.1,0.6,2.1,2,2.2,6.5,12.8,6.5,8.4,2.7,3.3,13.7,114.01,397,695,7.4,309,3.24,38.25,2.038998067,-2.517952915,7.9,3.2
